system,group,ligand_key,smiles
eg5,merck,CHEMBL1085895,O=C(NCCCO)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1086409,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccc(F)cc1
eg5,merck,CHEMBL1086410,CNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(C)(C)C)ccc1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1088740,Cc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2
eg5,merck,CHEMBL1089056,CC(C)(C)c1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2
eg5,merck,CHEMBL1089393,Clc1ccc2c(c1)[C@H]1OCCC[C@H]1[C@H](c1ccccc1)N2
eg5,merck,CHEMBL1093087,NCCN(C[C@H]1CC[C@@H]2[C@H](O1)c1cc(C(F)(F)F)ccc1N[C@H]2c1ccccc1)c1ccccc1
eg5,merck,CHEMBL1093088,FC(F)(F)c1ccc2c(c1)[C@H]1O[C@@H](Cn3cncn3)CC[C@H]1[C@H](c1ccccc1)N2
eg5,merck,CHEMBL1096002,OCCNC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1
eg5,merck,CHEMBL1096003,CN(C)CCS(=O)(=O)NC[C@H]1CC[C@@H]2[C@H](O1)c1cc(Cl)cc(F)c1N[C@H]2c1ccccc1
hif2a,merck,1,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2)C(F)F
hif2a,merck,124,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c(C(F)F)c1)C(F)(F)F
hif2a,merck,15,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@H]3O)c1
hif2a,merck,155,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC[C@H]3O)c1
hif2a,merck,156,N#Cc1cccc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC[C@H]3O)c1
hif2a,merck,163,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,164,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@@H](N)C(F)(F)C2
hif2a,merck,165,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](N)C(F)(F)C2
hif2a,merck,167,N#Cc1cc(Cl)cc(Oc2ccc(S(=O)(=O)CF)c3c2CC(F)(F)[C@H]3O)c1
hif2a,merck,206,CCS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,215,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)CCl)c3c2CC(F)(F)[C@H]3O)c1
hif2a,merck,224,Cn1cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)cn1
hif2a,merck,227,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2C[C@@H](F)[C@H]3O)c1
hif2a,merck,23,O=S(=O)(c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)[C@H](O)C2)C(F)F
hif2a,merck,231,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)C2
hif2a,merck,234,CS(=O)(=O)c1ccc(Oc2cc(Cl)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,235,N#Cc1cncc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3O)c1
hif2a,merck,237,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c3c2CC(F)(F)[C@@H]3O)c1
hif2a,merck,25,O=S(=O)(c1ccc(Oc2cncc(Cl)c2)c2c1[C@H](O)C(F)(F)C2)C(F)F
hif2a,merck,251,CNS(=O)(=O)c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,252,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2CC(F)(F)[C@H]3O)c1
hif2a,merck,254,CNS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,256,NS(=O)(=O)c1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,266,O=S(=O)(c1ccc(Oc2ccc(F)c3[nH]ncc23)c2c1[C@H](O)C(F)(F)C2)C(F)(F)F
hif2a,merck,289,CS(=O)(=O)c1ccc(Oc2cc(F)cc(C#N)c2)c2c1[C@H](O)[C@H](F)[C@@H]2F
hif2a,merck,290,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC(F)(F)[C@H]3N)c1
hif2a,merck,30,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c(Cl)c2C#N)c1
hif2a,merck,31,Cc1c(S(=O)(=O)C(F)F)ccc(Oc2cccc(C#N)c2)c1C#N
hif2a,merck,336,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2[C@@H](F)[C@@H](F)[C@H]3O)c1
hif2a,merck,338,N#Cc1cc(F)cc(Oc2ccc(S(N)(=O)=O)c3c2[C@@H](F)C(F)(F)[C@H]3O)c1
hif2a,merck,41,O=S(=O)(c1ccc(Oc2cc(F)cc(Cl)c2)c(Cl)c1CO)C(F)F
hif2a,merck,42,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)F)c(CO)c2Cl)c1
hif2a,merck,43,N#Cc1cccc(Oc2ccc(S(=O)(=O)C(F)F)c(CO)c2Cl)c1
hif2a,merck,50,Cc1c(S(C)(=O)=O)ccc(Oc2cc(F)cc(Cl)c2)c1C#N
hif2a,merck,54,CS(=O)(=O)c1ccc(Oc2cc(F)cc(Cl)c2)c(C(F)F)c1CO
hif2a,merck,57,N#Cc1cc(F)cc(Oc2ccc(S(=O)(=O)C(F)(F)F)c3c2CC[C@H]3O)c1
hif2a,merck,61,O=S(=O)(CF)c1ccc(Oc2cc(F)cc(Cl)c2)c2c1[C@H](O)CC2
hif2a,merck,67,N#Cc1ccc(Oc2cc(F)cc(F)c2)c2c1[C@H](O)C(F)(F)C2
hif2a,merck,7a,C[C@H]1C[C@@H](O)c2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21
hif2a,merck,7b,C[C@H]1C[C@H](O)c2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21
hif2a,merck,84,O=C1OCc2c(S(=O)(=O)C(F)F)ccc(Oc3cc(F)cc(Cl)c3)c21
mcl1,fragments,10,Cc1ccc2c(C)c(C(=O)O)oc2c1C
mcl1,fragments,11,O=C(O)c1cc2c(Br)cc(Cl)cc2o1
mcl1,fragments,13 flipped,Cn1c(C(=O)O)cc2ccccc21
mcl1,fragments,14,Cn1c(C(=O)O)cc2cc(Br)ccc21
mcl1,fragments,15,Cc1cccc2c(-c3ccccc3)c(C(=O)O)[nH]c12
mcl1,fragments,2,O=C(O)c1sc2ccccc2c1Cl
mcl1,fragments,3,O=C(O)c1sc2cccc(Cl)c2c1Cl
mcl1,fragments,4,O=C(O)c1sc2cc(Cl)ccc2c1Cl
mcl1,fragments,5,Cc1ccc2c(Cl)c(C(=O)O)sc2c1
mcl1,fragments,7,Cc1c(C(=O)O)oc2ccc(Cl)cc12
mcl1,fragments,8,Cc1c(C(=O)O)oc2cc(Cl)ccc12
mcl1,fragments,9,Cc1c(C(=O)O)oc2c(C)cccc12
mcl1,jacs_set,23,O=C(O)c1sc2ccccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,26,O=C(O)c1oc2ccccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,27,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccccc1
mcl1,jacs_set,28,Cc1ccccc1OCCCc1c(C(=O)O)[nH]c2ccccc12
mcl1,jacs_set,29,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccccc1C(F)(F)F
mcl1,jacs_set,30 flip,Cc1cccc(OCCCc2c(C(=O)O)[nH]c3ccccc23)c1
mcl1,jacs_set,31,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc(C(F)(F)F)c1
mcl1,jacs_set,32,Cc1ccc(OCCCc2c(C(=O)O)[nH]c3ccccc23)cc1
mcl1,jacs_set,33,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(Cl)cc1
mcl1,jacs_set,34,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(C(F)(F)F)cc1
mcl1,jacs_set,35,Cc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)ccc1Cl
mcl1,jacs_set,36,CCc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)ccc1Cl
mcl1,jacs_set,37,Cc1cc(OCCCc2c(C(=O)O)[nH]c3ccccc23)cc(C)c1Cl
mcl1,jacs_set,38 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc(-c2ccccc2)c1
mcl1,jacs_set,39,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(-c2ccccc2)cc1
mcl1,jacs_set,40 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc(Oc2ccccc2)c1
mcl1,jacs_set,41 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(Oc2ccccc2)cc1
mcl1,jacs_set,42,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,43 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc2ccccc2c1
mcl1,jacs_set,44,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc(Cl)c2ccccc12
mcl1,jacs_set,45,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2c1CCCC2
mcl1,jacs_set,46 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc2c(c1)CCC2
mcl1,jacs_set,47 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1ccc2ncccc2c1
mcl1,jacs_set,48 flip,O=C(O)c1[nH]c2ccccc2c1CCCOc1cccc2[nH]ccc12
mcl1,jacs_set,49,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cccc(Cl)c23)ccc1Cl
mcl1,jacs_set,50,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cccc(Cl)c23)cc(C)c1Cl
mcl1,jacs_set,51,O=C(O)c1[nH]c2cccc(Cl)c2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,52,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)ccc1Cl
mcl1,jacs_set,53,Cc1cc(OCCCc2c(C(=O)O)[nH]c3cc(Cl)ccc23)cc(C)c1Cl
mcl1,jacs_set,54,O=C(O)c1[nH]c2cc(Cl)ccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,56,Cc1cc(OCCCc2c(C(=O)O)n(C)c3ccccc23)cc(C)c1Cl
mcl1,jacs_set,57,Cn1c(C(=O)O)c(CCCOc2cccc3ccccc23)c2ccccc21
mcl1,jacs_set,58,Cc1cc(OCCCc2c(C(=O)O)n(C)c3cc(Cl)ccc23)cc(C)c1Cl
mcl1,jacs_set,60,Cc1cc(OCCCc2c(C(=O)O)sc3ccccc23)cc(C)c1Cl
mcl1,jacs_set,61,Cc1cc(OCCCc2c(C(=O)O)sc3cccc(Cl)c23)cc(C)c1Cl
mcl1,jacs_set,62,O=C(O)c1sc2cccc(Cl)c2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,63,Cc1cc(OCCCc2c(C(=O)O)sc3cc(Cl)ccc23)cc(C)c1Cl
mcl1,jacs_set,64,O=C(O)c1sc2cc(Cl)ccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,65,Cc1cc(OCCCc2c(C(=O)O)sc3c(Cl)cccc23)cc(C)c1Cl
mcl1,jacs_set,66,O=C(O)c1sc2c(Cl)cccc2c1CCCOc1cccc2ccccc12
mcl1,jacs_set,67,Cc1cc(OCCCc2c(C(=O)O)oc3ccccc23)cc(C)c1Cl
mcl1,jacs_set,68,O=C(O)c1oc2ccc(Cl)cc2c1CCCOc1cccc2ccccc12
p38,fragments,1 1W7H,Nc1ncccc1OCc1ccccc1
p38,fragments,3,c1ccc(COc2cccnc2)cc1
p38,fragments,4,Nc1ncccc1OCc1c(Cl)cccc1Cl
p38,fragments,5 1WBW,Nc1ncccc1OCc1cccc2ccccc12
p38,fragments,6,OCCNc1ccc(OCc2c(Cl)cccc2Cl)cn1
p38,fragments,7,CC(C)(CO)Nc1ccc(OCc2c(Cl)cccc2Cl)cn1
p38,jacs_set,2aa,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NC(CO)CO)nc21
p38,jacs_set,2bb,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(NCCS(C)(=O)=O)nc21
p38,jacs_set,2c,Cn1c(=O)c(-c2ccccc2Cl)cc2cnc(NC3CCOCC3)nc21
p38,jacs_set,2e,Cn1c(=O)c(Oc2ccc(F)cc2)cc2cnc(NC3CCOCC3)nc21
p38,jacs_set,2ee,CC(=O)N1CCC(Nc2ncc3cc(Oc4ccc(F)cc4F)c(=O)n(C)c3n2)CC1
p38,jacs_set,2f,Cn1c(=O)c(Oc2cccc(F)c2)cc2cnc(NC3CCOCC3)nc21
p38,jacs_set,2ff,Cn1c(=O)c(Oc2ccc(F)cc2F)cc2cnc(N[C@H]3CC[C@H](O)CC3)nc21
p38,jacs_set,2g,Cn1c(=O)c(Oc2ccccc2F)cc2cnc(NC3CCOCC3)nc21
