ligand,smiles,chembl_id,assay,pchembl,exp_dg
2p,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766502,IC50,8.22,-11.212080000000002
2h,[H]c1c([H])c([H])c(Sc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c1[H],CHEMBL1766494,IC50,6.96,-9.493440000000001
3fmk,[H]c1nnn(C([H])([H])[C@@]([H])(N([H])c2nc([H])c3c([H])c(Oc4c([H])c([H])c(F)c([H])c4F)c(=O)n(C([H])([H])[H])c3n2)C([H])([H])[H])n1,CHEMBL1230351,IC50,7.96,-10.85744
2i,[H]c1c([H])c([H])c(C([H])([H])c2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c1[H],CHEMBL1766495,IC50,7.38,-10.066320000000001
2f,[H]c1c([H])c(F)c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c1[H],CHEMBL1766492,IC50,6.23,-8.497720000000001
2x,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])[C@]4([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766574,IC50,7.51,-10.243640000000001
2ff,[H]O[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(N([H])c2nc([H])c3c([H])c(Oc4c([H])c([H])c(F)c([H])c4F)c(=O)n(C([H])([H])[H])c3n2)C([H])([H])C1([H])[H],CHEMBL1766580,IC50,8.4,-11.457600000000001
2k,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n([H])c2=O)c(F)c([H])c1F,CHEMBL1766497,IC50,7.75,-10.571000000000002
2n,[H]OC([H])([H])C([H])([H])C([H])([H])n1c(=O)c(Oc2c([H])c([H])c(F)c([H])c2F)c([H])c2c([H])nc(N([H])C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc21,CHEMBL1766500,IC50,8.7,-11.8668
3flq,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])S(=O)(=O)C([H])([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1230610,IC50,7.3,-9.9572
3fln,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1230122,IC50,8.0,-10.912
2e,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c([H])c([H])c1F,CHEMBL1766491,IC50,7.85,-10.7074
3fmh,[H]c1nnn(C([H])([H])[C@]([H])(N([H])c2nc([H])c3c([H])c(Oc4c([H])c([H])c(F)c([H])c4F)c(=O)n(C([H])([H])[H])c3n2)C([H])([H])[H])n1,CHEMBL1230351,IC50,7.96,-10.85744
2c,[H]c1c([H])c([H])c(-c2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c(Cl)c1[H],CHEMBL1766490,IC50,7.68,-10.475520000000001
2y,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])c1nc([H])c2c([H])c(Oc3c([H])c([H])c(F)c([H])c3F)c(=O)n(C([H])([H])[H])c2n1,CHEMBL1766575,IC50,7.17,-9.77988
2s,[H]OC([H])([H])[C@@]([H])(O[H])C([H])([H])n1c(=O)c(Oc2c([H])c([H])c(F)c([H])c2F)c([H])c2c([H])nc(N([H])C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc21,CHEMBL1766505,IC50,8.15,-11.116600000000002
2m,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C3([H])C([H])([H])C3([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766499,IC50,8.05,-10.980200000000002
2bb,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766578,IC50,6.65,-9.0706
2v,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C([H])([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1766573,IC50,6.58,-8.97512
2r,[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])n1c(=O)c(Oc2c([H])c([H])c(F)c([H])c2F)c([H])c2c([H])nc(N([H])C3([H])C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])nc21,CHEMBL1766504,IC50,7.92,-10.80288
3flz,[H]c1c([H])c([H])c(Oc2c([H])c3c([H])nc(N([H])C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])nc3n(C([H])([H])[H])c2=O)c([H])c1[H],CHEMBL1232773,IC50,6.97,-9.50708
2z,[H]OC([H])([H])C(N([H])c1nc([H])c2c([H])c(Oc3c([H])c([H])c(F)c([H])c3F)c(=O)n(C([H])([H])[H])c2n1)(C([H])([H])[H])C([H])([H])[H],CHEMBL1766576,IC50,7.6,-10.3664
3fly,[H]c1c([H])c(Oc2c([H])c3c([H])nc(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])nc3n(C([H])([H])[H])c2=O)c(F)c([H])c1F,CHEMBL1232772,IC50,8.4,-11.457600000000001
1_1W7H,[H]c1nc(N([H])[H])c(OC([H])([H])c2c([H])c([H])c([H])c([H])c2[H])c([H])c1[H],CHEMBL194009,IC50,4.0,-5.456
