ligand,smiles,chembl_id,assay,pchembl,exp_dg
165,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c3c2C([H])([H])C(F)(F)[C@@]3([H])N([H])[H])c([H])c1C#N,CHEMBL5945251,IC50,4.96,-6.765440000000001
41,[H]OC([H])([H])c1c(Cl)c(Oc2c([H])c(F)c([H])c(Cl)c2[H])c([H])c([H])c1S(=O)(=O)C([H])(F)F,CHEMBL4164468,IC50,7.255,-9.89582
7b,[H]O[C@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(Cl)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)[C@@]([H])(C([H])([H])[H])C1([H])[H],CHEMBL5927976,IC50,6.375,-8.695500000000001
54,[H]OC([H])([H])c1c(C([H])(F)F)c(Oc2c([H])c(F)c([H])c(Cl)c2[H])c([H])c([H])c1S(=O)(=O)C([H])([H])[H],CHEMBL5805638,IC50,6.82,-9.302480000000001
215,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])Cl)C([H])([H])C1(F)F,CHEMBL5938196,IC50,7.77,-10.59828
57,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C(F)(F)F)C([H])([H])C1([H])[H],CHEMBL5918628,IC50,7.82,-10.666480000000002
42,[H]OC([H])([H])c1c(Cl)c(Oc2c([H])c(F)c([H])c(C#N)c2[H])c([H])c([H])c1S(=O)(=O)C([H])(F)F,CHEMBL6024713,IC50,6.55,-8.9342
252,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)N([H])[H])C([H])([H])C1(F)F,CHEMBL5846164,IC50,7.12,-9.711680000000001
336,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)N([H])[H])[C@@]([H])(F)[C@@]1([H])F,CHEMBL5803224,IC50,7.2,-9.8208
290,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C(F)(F)F)c3c2C([H])([H])C(F)(F)[C@@]3([H])N([H])[H])c([H])c1C#N,CHEMBL5763623,IC50,7.75,-10.571000000000002
155,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1([H])[H],CHEMBL5822063,IC50,6.06,-8.26584
164,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c3c2C([H])([H])C(F)(F)[C@]3([H])N([H])[H])c([H])c1C#N,CHEMBL5945251,IC50,4.96,-6.765440000000001
7a,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(Cl)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)[C@@]([H])(C([H])([H])[H])C1([H])[H],CHEMBL5927976,IC50,6.375,-8.695500000000001
224,[H]O[C@@]1([H])c2c(c(Oc3c([H])nn(C([H])([H])[H])c3[H])c([H])c([H])c2S(=O)(=O)C(F)(F)F)C([H])([H])C1(F)F,CHEMBL6004752,IC50,7.08,-9.65712
84,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])(F)F)c3c2C(=O)OC3([H])[H])c([H])c1Cl,CHEMBL5950986,IC50,5.55,-7.570200000000001
254,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)N([H])C([H])([H])[H])C([H])([H])C1(F)F,CHEMBL5761841,IC50,7.0,-9.548
23,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(F)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])[C@@]1([H])O[H],CHEMBL5822526,IC50,5.18,-7.06552
251,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(F)c3[H])c([H])c([H])c2S(=O)(=O)N([H])C([H])([H])[H])C([H])([H])C1(F)F,CHEMBL6022087,IC50,7.51,-10.243640000000001
256,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(F)c3[H])c([H])c([H])c2S(=O)(=O)N([H])[H])C([H])([H])C1(F)F,CHEMBL5776788,IC50,7.82,-10.666480000000002
50,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c(C([H])([H])[H])c2C#N)c([H])c1Cl,CHEMBL5746743,IC50,7.11,-9.69804
231,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])[H])C([H])([H])[C@@]1([H])F,CHEMBL4169671,IC50,7.39,-10.07996
15,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1(F)F,CHEMBL4161350,IC50,8.0,-10.912
124,[H]c1c(F)c([H])c(Oc2c([H])c([H])c(S(=O)(=O)C(F)(F)F)c([H])c2C([H])(F)F)c([H])c1Cl,CHEMBL4167600,IC50,7.04,-9.60256
25,[H]O[C@@]1([H])c2c(c(Oc3c([H])nc([H])c(Cl)c3[H])c([H])c([H])c2S(=O)(=O)C([H])(F)F)C([H])([H])C1(F)F,CHEMBL4167415,IC50,7.38,-10.066320000000001
163,[H]O[C@@]1([H])c2c(c(Oc3c([H])c(F)c([H])c(C#N)c3[H])c([H])c([H])c2S(=O)(=O)C([H])([H])[H])C([H])([H])C1(F)F,CHEMBL4173075,IC50,7.845,-10.70058
